Gene1,Gene2
Gene_1,Gene_1
Gene_1,Gene_8
Gene_1,Gene_18
Gene_1,Gene_32
Gene_1,Gene_60
Gene_1,Gene_67
Gene_1,Gene_69
Gene_1,Gene_78
Gene_1,Gene_80
Gene_1,Gene_82
Gene_1,Gene_85
Gene_1,Gene_99
Gene_1,Gene_104
Gene_1,Gene_106
Gene_1,Gene_107
Gene_1,Gene_109
Gene_1,Gene_110
Gene_1,Gene_115
Gene_1,Gene_119
Gene_1,Gene_122
Gene_1,Gene_126
Gene_1,Gene_147
Gene_1,Gene_174
Gene_1,Gene_181
Gene_1,Gene_185
Gene_1,Gene_186
Gene_1,Gene_191
Gene_3,Gene_0
Gene_3,Gene_1
Gene_3,Gene_3
Gene_3,Gene_4
Gene_3,Gene_5
Gene_3,Gene_6
Gene_3,Gene_7
Gene_3,Gene_8
Gene_3,Gene_10
Gene_3,Gene_11
Gene_3,Gene_12
Gene_3,Gene_13
Gene_3,Gene_14
Gene_3,Gene_15
Gene_3,Gene_16
Gene_3,Gene_18
Gene_3,Gene_19
Gene_3,Gene_20
Gene_3,Gene_22
Gene_3,Gene_23
Gene_3,Gene_25
Gene_3,Gene_26
Gene_3,Gene_29
Gene_3,Gene_30
Gene_3,Gene_31
Gene_3,Gene_32
Gene_3,Gene_33
Gene_3,Gene_34
Gene_3,Gene_35
Gene_3,Gene_36
Gene_3,Gene_37
Gene_3,Gene_38
Gene_3,Gene_40
Gene_3,Gene_42
Gene_3,Gene_43
Gene_3,Gene_44
Gene_3,Gene_47
Gene_3,Gene_48
Gene_3,Gene_49
Gene_3,Gene_51
Gene_3,Gene_52
Gene_3,Gene_53
Gene_3,Gene_54
Gene_3,Gene_55
Gene_3,Gene_56
Gene_3,Gene_57
Gene_3,Gene_58
Gene_3,Gene_59
Gene_3,Gene_60
Gene_3,Gene_62
Gene_3,Gene_63
Gene_3,Gene_66
Gene_3,Gene_67
Gene_3,Gene_68
Gene_3,Gene_69
Gene_3,Gene_70
Gene_3,Gene_73
Gene_3,Gene_74
Gene_3,Gene_75
Gene_3,Gene_76
Gene_3,Gene_77
Gene_3,Gene_78
Gene_3,Gene_79
Gene_3,Gene_81
Gene_3,Gene_82
Gene_3,Gene_84
Gene_3,Gene_85
Gene_3,Gene_86
Gene_3,Gene_87
Gene_3,Gene_88
Gene_3,Gene_90
Gene_3,Gene_91
Gene_3,Gene_93
Gene_3,Gene_94
Gene_3,Gene_96
Gene_3,Gene_97
Gene_3,Gene_99
Gene_3,Gene_100
Gene_3,Gene_102
Gene_3,Gene_103
Gene_3,Gene_108
Gene_3,Gene_109
Gene_3,Gene_110
Gene_3,Gene_111
Gene_3,Gene_112
Gene_3,Gene_113
Gene_3,Gene_115
Gene_3,Gene_116
Gene_3,Gene_119
Gene_3,Gene_120
Gene_3,Gene_121
Gene_3,Gene_122
Gene_3,Gene_123
Gene_3,Gene_124
Gene_3,Gene_125
Gene_3,Gene_126
Gene_3,Gene_127
Gene_3,Gene_128
Gene_3,Gene_129
Gene_3,Gene_130
Gene_3,Gene_132
Gene_3,Gene_133
Gene_3,Gene_134
Gene_3,Gene_135
Gene_3,Gene_136
Gene_3,Gene_137
Gene_3,Gene_138
Gene_3,Gene_139
