Gene1,Gene2
Gene_33,Gene_2
Gene_33,Gene_6
Gene_33,Gene_8
Gene_33,Gene_11
Gene_33,Gene_12
Gene_33,Gene_13
Gene_33,Gene_17
Gene_33,Gene_18
Gene_33,Gene_22
Gene_33,Gene_24
Gene_33,Gene_25
Gene_33,Gene_29
Gene_33,Gene_30
Gene_33,Gene_33
Gene_33,Gene_36
Gene_33,Gene_37
Gene_33,Gene_43
Gene_33,Gene_46
Gene_33,Gene_48
Gene_33,Gene_49
Gene_33,Gene_50
Gene_33,Gene_51
Gene_33,Gene_53
Gene_33,Gene_55
Gene_33,Gene_57
Gene_33,Gene_58
Gene_33,Gene_59
Gene_33,Gene_60
Gene_33,Gene_62
Gene_33,Gene_63
Gene_33,Gene_64
Gene_33,Gene_67
Gene_33,Gene_69
Gene_33,Gene_70
Gene_33,Gene_73
Gene_33,Gene_76
Gene_33,Gene_78
Gene_33,Gene_80
Gene_33,Gene_81
Gene_33,Gene_82
Gene_33,Gene_85
Gene_33,Gene_86
Gene_33,Gene_88
Gene_33,Gene_89
Gene_33,Gene_90
Gene_33,Gene_91
Gene_33,Gene_97
Gene_33,Gene_98
Gene_33,Gene_99
Gene_33,Gene_102
Gene_33,Gene_104
Gene_33,Gene_105
Gene_33,Gene_106
Gene_33,Gene_109
Gene_33,Gene_112
Gene_33,Gene_114
Gene_33,Gene_115
Gene_33,Gene_117
Gene_33,Gene_118
Gene_33,Gene_120
Gene_33,Gene_126
Gene_33,Gene_129
Gene_33,Gene_133
Gene_33,Gene_137
Gene_33,Gene_138
Gene_33,Gene_139
Gene_33,Gene_143
Gene_33,Gene_145
Gene_33,Gene_147
Gene_33,Gene_148
Gene_33,Gene_150
Gene_33,Gene_151
Gene_33,Gene_152
Gene_33,Gene_153
Gene_33,Gene_154
Gene_33,Gene_155
Gene_33,Gene_162
Gene_33,Gene_165
Gene_33,Gene_166
Gene_33,Gene_169
Gene_33,Gene_171
Gene_33,Gene_172
Gene_33,Gene_174
Gene_33,Gene_177
Gene_33,Gene_179
Gene_33,Gene_181
Gene_33,Gene_185
Gene_33,Gene_187
Gene_33,Gene_189
Gene_33,Gene_190
Gene_33,Gene_191
Gene_33,Gene_197
Gene_33,Gene_198
Gene_33,Gene_200
Gene_33,Gene_202
Gene_33,Gene_204
Gene_33,Gene_206
Gene_33,Gene_207
Gene_33,Gene_209
Gene_33,Gene_213
Gene_33,Gene_215
Gene_33,Gene_218
Gene_33,Gene_220
Gene_33,Gene_224
Gene_33,Gene_226
Gene_33,Gene_227
Gene_33,Gene_229
Gene_33,Gene_230
Gene_33,Gene_231
Gene_33,Gene_232
Gene_33,Gene_233
Gene_33,Gene_236
Gene_33,Gene_239
Gene_33,Gene_244
Gene_33,Gene_245
Gene_33,Gene_246
Gene_33,Gene_247
Gene_33,Gene_249
Gene_33,Gene_253
Gene_33,Gene_254
Gene_33,Gene_255
Gene_33,Gene_257
Gene_33,Gene_258
Gene_33,Gene_261
Gene_33,Gene_263
Gene_33,Gene_266
Gene_33,Gene_267
Gene_33,Gene_268
Gene_33,Gene_271
Gene_33,Gene_272
Gene_33,Gene_273
Gene_33,Gene_275
Gene_33,Gene_277
Gene_33,Gene_278
Gene_33,Gene_279
Gene_33,Gene_281
Gene_33,Gene_284
Gene_33,Gene_286
Gene_33,Gene_287
Gene_33,Gene_290
Gene_33,Gene_292
Gene_33,Gene_296
Gene_33,Gene_298
Gene_33,Gene_299
Gene_33,Gene_303
Gene_33,Gene_304
Gene_33,Gene_305
Gene_33,Gene_309
Gene_33,Gene_311
Gene_33,Gene_312
Gene_33,Gene_315
Gene_33,Gene_316
Gene_33,Gene_317
Gene_33,Gene_320
Gene_33,Gene_321
Gene_33,Gene_328
Gene_33,Gene_329
Gene_33,Gene_330
Gene_33,Gene_331
Gene_33,Gene_333
Gene_33,Gene_334
Gene_33,Gene_335
Gene_33,Gene_337
Gene_33,Gene_339
Gene_33,Gene_340
Gene_33,Gene_341
Gene_33,Gene_342
Gene_33,Gene_348
Gene_33,Gene_349
Gene_33,Gene_350
Gene_33,Gene_351
Gene_33,Gene_354
Gene_33,Gene_355
Gene_33,Gene_357
Gene_33,Gene_358
Gene_33,Gene_362
Gene_33,Gene_363
Gene_33,Gene_364
Gene_33,Gene_365
Gene_33,Gene_368
Gene_33,Gene_370
Gene_33,Gene_371
Gene_33,Gene_373
Gene_33,Gene_375
Gene_33,Gene_376
Gene_33,Gene_377
Gene_33,Gene_378
Gene_33,Gene_382
Gene_33,Gene_385
Gene_33,Gene_386
Gene_33,Gene_387
Gene_33,Gene_389
Gene_33,Gene_390
Gene_33,Gene_392
Gene_33,Gene_393
Gene_33,Gene_394
Gene_33,Gene_395
Gene_33,Gene_396
Gene_33,Gene_397
Gene_33,Gene_398
Gene_33,Gene_399
Gene_33,Gene_400
Gene_33,Gene_401
Gene_33,Gene_403
Gene_33,Gene_406
Gene_33,Gene_410
Gene_33,Gene_411
Gene_33,Gene_415
Gene_33,Gene_417
Gene_33,Gene_420
Gene_33,Gene_423
Gene_33,Gene_425
Gene_33,Gene_426
Gene_33,Gene_427
Gene_33,Gene_428
Gene_33,Gene_432
Gene_33,Gene_433
Gene_33,Gene_434
Gene_33,Gene_435
Gene_33,Gene_436
Gene_33,Gene_437
Gene_33,Gene_438
Gene_33,Gene_439
Gene_33,Gene_440
Gene_33,Gene_445
Gene_33,Gene_448
Gene_33,Gene_449
Gene_33,Gene_450
Gene_33,Gene_453
Gene_33,Gene_454
Gene_33,Gene_455
Gene_33,Gene_459
Gene_33,Gene_460
Gene_33,Gene_461
Gene_33,Gene_465
Gene_33,Gene_467
Gene_33,Gene_469
Gene_33,Gene_471
Gene_33,Gene_472
Gene_33,Gene_474
Gene_33,Gene_477
Gene_33,Gene_481
Gene_33,Gene_482
Gene_33,Gene_483
Gene_33,Gene_484
Gene_33,Gene_487
Gene_33,Gene_490
Gene_33,Gene_491
Gene_33,Gene_496
Gene_33,Gene_497
Gene_33,Gene_499
Gene_33,Gene_501
Gene_33,Gene_503
Gene_33,Gene_504
Gene_33,Gene_505
Gene_33,Gene_507
Gene_33,Gene_508
Gene_33,Gene_514
Gene_33,Gene_515
Gene_33,Gene_516
Gene_33,Gene_517
Gene_33,Gene_519
Gene_33,Gene_521
Gene_33,Gene_522
Gene_33,Gene_525
Gene_33,Gene_526
Gene_33,Gene_527
Gene_33,Gene_528
Gene_33,Gene_530
Gene_33,Gene_531
Gene_33,Gene_533
Gene_33,Gene_536
Gene_33,Gene_540
Gene_33,Gene_542
Gene_33,Gene_545
Gene_33,Gene_548
Gene_33,Gene_550
Gene_33,Gene_552
Gene_33,Gene_553
Gene_33,Gene_554
Gene_33,Gene_556
Gene_33,Gene_559
Gene_33,Gene_561
Gene_33,Gene_562
Gene_33,Gene_564
Gene_33,Gene_565
Gene_33,Gene_566
Gene_33,Gene_568
Gene_33,Gene_569
Gene_33,Gene_572
Gene_33,Gene_573
Gene_33,Gene_574
Gene_33,Gene_575
Gene_33,Gene_577
Gene_33,Gene_578
Gene_33,Gene_581
Gene_33,Gene_582
Gene_33,Gene_585
Gene_33,Gene_586
Gene_33,Gene_587
Gene_33,Gene_588
Gene_33,Gene_590
Gene_33,Gene_591
Gene_33,Gene_592
Gene_33,Gene_596
Gene_33,Gene_597
Gene_33,Gene_598
Gene_33,Gene_600
Gene_33,Gene_601
Gene_33,Gene_604
Gene_33,Gene_605
Gene_33,Gene_606
Gene_33,Gene_609
Gene_33,Gene_612
Gene_33,Gene_613
Gene_33,Gene_615
Gene_33,Gene_616
Gene_33,Gene_618
Gene_33,Gene_619
Gene_33,Gene_621
Gene_33,Gene_624
Gene_33,Gene_625
Gene_33,Gene_627
Gene_33,Gene_628
Gene_33,Gene_629
Gene_33,Gene_631
Gene_33,Gene_634
Gene_33,Gene_637
Gene_33,Gene_638
Gene_33,Gene_639
Gene_33,Gene_640
Gene_33,Gene_643
Gene_33,Gene_644
Gene_33,Gene_648
Gene_33,Gene_649
Gene_33,Gene_650
Gene_33,Gene_653
Gene_33,Gene_654
Gene_33,Gene_655
Gene_33,Gene_656
Gene_33,Gene_657
Gene_33,Gene_658
Gene_33,Gene_659
Gene_33,Gene_661
Gene_33,Gene_663
Gene_33,Gene_664
Gene_33,Gene_666
Gene_33,Gene_667
Gene_33,Gene_669
Gene_33,Gene_671
Gene_33,Gene_672
Gene_33,Gene_674
Gene_33,Gene_675
Gene_33,Gene_676
Gene_33,Gene_677
Gene_33,Gene_682
Gene_33,Gene_683
Gene_33,Gene_685
Gene_33,Gene_687
Gene_33,Gene_690
Gene_34,Gene_2
Gene_34,Gene_4
Gene_34,Gene_11
Gene_34,Gene_12
Gene_34,Gene_13
Gene_34,Gene_20
Gene_34,Gene_29
Gene_34,Gene_30
Gene_34,Gene_33
Gene_34,Gene_38
Gene_34,Gene_43
Gene_34,Gene_54
Gene_34,Gene_57
Gene_34,Gene_63
Gene_34,Gene_64
Gene_34,Gene_68
Gene_34,Gene_69
Gene_34,Gene_74
Gene_34,Gene_82
Gene_34,Gene_83
Gene_34,Gene_88
Gene_34,Gene_89
Gene_34,Gene_91
Gene_34,Gene_100
Gene_34,Gene_102
Gene_34,Gene_106
Gene_34,Gene_108
Gene_34,Gene_114
Gene_34,Gene_117
Gene_34,Gene_118
Gene_34,Gene_120
Gene_34,Gene_122
Gene_34,Gene_126
Gene_34,Gene_130
Gene_34,Gene_131
Gene_34,Gene_132
Gene_34,Gene_138
Gene_34,Gene_144
Gene_34,Gene_145
Gene_34,Gene_148
Gene_34,Gene_151
Gene_34,Gene_154
Gene_34,Gene_155
Gene_34,Gene_156
Gene_34,Gene_157
Gene_34,Gene_163
Gene_34,Gene_164
Gene_34,Gene_166
Gene_34,Gene_171
Gene_34,Gene_178
Gene_34,Gene_179
Gene_34,Gene_182
Gene_34,Gene_184
Gene_34,Gene_185
Gene_34,Gene_189
Gene_34,Gene_197
Gene_34,Gene_200
Gene_34,Gene_203
Gene_34,Gene_204
Gene_34,Gene_205
Gene_34,Gene_206
Gene_34,Gene_207
Gene_34,Gene_212
Gene_34,Gene_231
Gene_34,Gene_235
Gene_34,Gene_242
Gene_34,Gene_243
Gene_34,Gene_245
Gene_34,Gene_257
Gene_34,Gene_264
