Gene1,Gene2
Gene_7,Gene_1
Gene_7,Gene_2
Gene_7,Gene_3
Gene_7,Gene_4
Gene_7,Gene_5
Gene_7,Gene_6
Gene_7,Gene_7
Gene_7,Gene_9
Gene_7,Gene_10
Gene_7,Gene_13
Gene_7,Gene_15
Gene_7,Gene_16
Gene_7,Gene_18
Gene_7,Gene_19
Gene_7,Gene_20
Gene_7,Gene_22
Gene_7,Gene_24
Gene_7,Gene_25
Gene_7,Gene_26
Gene_7,Gene_27
Gene_7,Gene_28
Gene_7,Gene_29
Gene_7,Gene_30
Gene_7,Gene_31
Gene_7,Gene_32
Gene_7,Gene_33
Gene_7,Gene_35
Gene_7,Gene_36
Gene_7,Gene_37
Gene_7,Gene_39
Gene_7,Gene_42
Gene_7,Gene_43
Gene_7,Gene_44
Gene_7,Gene_45
Gene_7,Gene_46
Gene_7,Gene_47
Gene_7,Gene_48
Gene_7,Gene_49
Gene_7,Gene_50
Gene_7,Gene_51
Gene_7,Gene_52
Gene_7,Gene_53
Gene_7,Gene_55
Gene_7,Gene_58
Gene_7,Gene_59
Gene_7,Gene_60
Gene_7,Gene_61
Gene_7,Gene_62
Gene_7,Gene_63
Gene_7,Gene_64
Gene_7,Gene_65
Gene_7,Gene_66
Gene_7,Gene_67
Gene_7,Gene_68
Gene_7,Gene_69
Gene_7,Gene_70
Gene_7,Gene_71
Gene_7,Gene_72
Gene_7,Gene_73
Gene_7,Gene_74
Gene_7,Gene_75
Gene_7,Gene_76
Gene_7,Gene_77
Gene_7,Gene_78
Gene_7,Gene_79
Gene_7,Gene_80
Gene_7,Gene_81
Gene_7,Gene_82
Gene_7,Gene_83
Gene_7,Gene_85
Gene_7,Gene_88
Gene_7,Gene_89
Gene_7,Gene_90
Gene_7,Gene_91
Gene_7,Gene_92
Gene_7,Gene_93
Gene_7,Gene_94
Gene_7,Gene_95
Gene_7,Gene_96
Gene_7,Gene_97
Gene_7,Gene_98
Gene_7,Gene_99
Gene_7,Gene_100
Gene_7,Gene_101
Gene_7,Gene_102
Gene_7,Gene_106
Gene_7,Gene_107
Gene_7,Gene_108
Gene_7,Gene_109
Gene_7,Gene_110
Gene_7,Gene_112
Gene_7,Gene_114
Gene_7,Gene_115
Gene_7,Gene_116
Gene_7,Gene_117
Gene_7,Gene_118
Gene_7,Gene_119
Gene_7,Gene_121
Gene_7,Gene_122
Gene_7,Gene_123
Gene_7,Gene_124
Gene_7,Gene_125
Gene_7,Gene_126
Gene_7,Gene_127
Gene_7,Gene_128
Gene_7,Gene_130
Gene_7,Gene_131
Gene_7,Gene_132
Gene_7,Gene_134
Gene_7,Gene_136
Gene_7,Gene_137
Gene_7,Gene_138
Gene_7,Gene_139
Gene_7,Gene_140
Gene_7,Gene_141
Gene_7,Gene_143
Gene_7,Gene_144
Gene_7,Gene_145
Gene_7,Gene_146
Gene_7,Gene_147
Gene_7,Gene_148
Gene_7,Gene_150
Gene_7,Gene_152
Gene_7,Gene_153
Gene_7,Gene_155
Gene_7,Gene_156
Gene_7,Gene_157
Gene_7,Gene_159
Gene_7,Gene_160
Gene_7,Gene_162
Gene_7,Gene_163
Gene_7,Gene_164
Gene_7,Gene_165
Gene_7,Gene_166
Gene_7,Gene_167
Gene_7,Gene_168
Gene_7,Gene_169
Gene_7,Gene_170
Gene_7,Gene_175
Gene_7,Gene_176
Gene_7,Gene_178
Gene_7,Gene_179
Gene_7,Gene_180
Gene_7,Gene_181
Gene_7,Gene_182
Gene_7,Gene_183
Gene_7,Gene_185
Gene_7,Gene_186
Gene_7,Gene_187
Gene_7,Gene_189
Gene_7,Gene_190
Gene_7,Gene_191
Gene_7,Gene_193
Gene_7,Gene_194
Gene_7,Gene_196
Gene_7,Gene_197
Gene_7,Gene_198
Gene_7,Gene_199
Gene_14,Gene_0
Gene_14,Gene_1
Gene_14,Gene_3
Gene_14,Gene_5
Gene_14,Gene_6
Gene_14,Gene_7
Gene_14,Gene_10
Gene_14,Gene_13
Gene_14,Gene_14
Gene_14,Gene_15
