Rank,Correlation
0,0.22450903021460022
303,0.02311730045138781
194,0.04109881055862408
43,0.11709321271720433
0,0.2830148505801038
265,0.027290550822321083
107,0.0971254424538962
319,0.016874861609666808
8,0.19244121837985018
2,0.20346111406826237
16,0.14281482341909368
202,0.04256322137536882
0,0.3292991431438502
9,0.17248739656147655
34,0.10603747860795121
1,0.1934456794366894
3,0.18381150789056333
92,0.0896062009130898
38,0.10667492028092569
0,0.233497925010932
14,0.18273580052296495
10,0.17549061770952756
260,0.032130488869715326
256,0.028555466496544203
3,0.19914055998957014
2,0.21162371470855965
226,0.029537742572454992
62,0.0990115705160272
15,0.14659354764336735
46,0.11399565237596612
212,0.039159572631159545
0,0.23182679741146026
0,0.41881922432335467
20,0.16010043478155134
15,0.19876711374256198
0,0.2537089112188454
0,0.21029037131238137
80,0.10074465071448391
115,0.0631557702490398
0,0.27507136216877115
15,0.18295538491591323
143,0.058246445962227084
8,0.19373711350351633
33,0.12506307258497668
51,0.10721573202057806
12,0.14909374307803888
51,0.12057875764070244
80,0.08182640448345202
278,0.023336748483884596
0,0.231592953814692
