Rank,Correlation
0,0.38088390662042887
211,0.05238765749649388
14,0.1752349262835716
311,0.020918322475822287
253,0.030934078243989797
145,0.07383414956501125
46,0.14149686561829755
212,0.04332035730680764
329,0.017761889975471
253,0.03566164926904818
5,0.1960555555197681
292,0.028315347561972994
259,0.03361546349927111
353,0.01251885365305757
363,0.008320721610033853
74,0.11391680881573812
122,0.08060101369401637
326,0.01877470719253726
155,0.07174596440088965
191,0.046958176212935125
115,0.08193701694475466
201,0.048004504871554964
85,0.10438573852564667
96,0.10205965068857825
32,0.1512994009293075
263,0.033765835594126735
221,0.04476283208740258
150,0.0584643151585768
269,0.03488299130349295
94,0.09471950630660772
380,0.004395859129521167
337,0.014240725233312983
295,0.02628946944505746
377,0.004197428041650651
123,0.0819759206978864
119,0.08018116589296528
373,0.0069398175742637
328,0.015551276331284829
377,0.004516972124885547
326,0.017420904488741132
218,0.04687966213921626
375,0.006174212884334278
277,0.028696824394603408
337,0.01400710054670392
377,0.004453164214466246
393,0.0008816509817416093
273,0.029417049047695897
294,0.02464611418142592
274,0.031528414165727985
83,0.09144677546629049
