Gene1,Gene2
Gene_0,Gene_0
Gene_0,Gene_1
Gene_0,Gene_2
Gene_0,Gene_4
Gene_0,Gene_5
Gene_0,Gene_6
Gene_0,Gene_7
Gene_0,Gene_8
Gene_0,Gene_9
Gene_0,Gene_10
Gene_0,Gene_11
Gene_0,Gene_12
Gene_0,Gene_13
Gene_0,Gene_14
Gene_0,Gene_15
Gene_0,Gene_16
Gene_0,Gene_17
Gene_0,Gene_19
Gene_0,Gene_20
Gene_0,Gene_22
Gene_0,Gene_23
Gene_0,Gene_25
Gene_0,Gene_26
Gene_0,Gene_27
Gene_0,Gene_28
Gene_0,Gene_29
Gene_0,Gene_30
Gene_0,Gene_31
Gene_0,Gene_32
Gene_0,Gene_33
Gene_0,Gene_34
Gene_0,Gene_35
Gene_0,Gene_36
Gene_0,Gene_37
Gene_0,Gene_38
Gene_0,Gene_39
Gene_0,Gene_40
Gene_0,Gene_41
Gene_0,Gene_42
Gene_0,Gene_43
Gene_0,Gene_45
Gene_0,Gene_46
Gene_0,Gene_47
Gene_0,Gene_48
Gene_0,Gene_49
Gene_0,Gene_50
Gene_0,Gene_51
Gene_0,Gene_55
Gene_0,Gene_56
Gene_0,Gene_57
Gene_0,Gene_59
Gene_0,Gene_61
Gene_0,Gene_63
Gene_0,Gene_64
Gene_0,Gene_65
Gene_0,Gene_66
Gene_0,Gene_67
Gene_0,Gene_68
Gene_0,Gene_69
Gene_0,Gene_70
Gene_0,Gene_71
Gene_0,Gene_72
Gene_0,Gene_73
Gene_0,Gene_74
Gene_0,Gene_75
Gene_0,Gene_76
Gene_0,Gene_77
Gene_0,Gene_78
Gene_0,Gene_79
Gene_0,Gene_80
Gene_0,Gene_81
Gene_0,Gene_82
Gene_0,Gene_83
Gene_0,Gene_84
Gene_0,Gene_85
Gene_0,Gene_86
Gene_0,Gene_87
Gene_0,Gene_89
Gene_0,Gene_90
Gene_0,Gene_91
Gene_0,Gene_92
Gene_0,Gene_93
Gene_0,Gene_94
Gene_0,Gene_95
Gene_0,Gene_96
Gene_0,Gene_97
Gene_0,Gene_98
Gene_0,Gene_99
Gene_0,Gene_100
Gene_0,Gene_101
Gene_0,Gene_102
Gene_0,Gene_103
Gene_0,Gene_104
Gene_0,Gene_105
Gene_0,Gene_106
Gene_0,Gene_107
Gene_0,Gene_108
Gene_0,Gene_109
Gene_0,Gene_111
Gene_0,Gene_113
Gene_0,Gene_114
Gene_0,Gene_115
Gene_0,Gene_116
Gene_0,Gene_117
Gene_0,Gene_118
Gene_0,Gene_120
Gene_0,Gene_121
Gene_0,Gene_122
Gene_0,Gene_123
Gene_0,Gene_124
Gene_0,Gene_127
Gene_0,Gene_128
Gene_0,Gene_129
Gene_0,Gene_130
Gene_0,Gene_131
Gene_0,Gene_132
Gene_0,Gene_133
Gene_0,Gene_134
Gene_0,Gene_135
Gene_0,Gene_136
Gene_0,Gene_137
Gene_0,Gene_138
Gene_0,Gene_140
Gene_0,Gene_141
Gene_0,Gene_142
Gene_0,Gene_144
Gene_0,Gene_145
Gene_0,Gene_147
Gene_0,Gene_149
Gene_0,Gene_150
Gene_0,Gene_151
Gene_0,Gene_154
