Gene1,Gene2
Gene_23,Gene_23
Gene_23,Gene_36
Gene_23,Gene_60
Gene_23,Gene_163
Gene_23,Gene_177
Gene_23,Gene_183
Gene_23,Gene_195
Gene_23,Gene_206
Gene_23,Gene_259
Gene_23,Gene_308
Gene_23,Gene_393
Gene_23,Gene_405
Gene_23,Gene_467
Gene_23,Gene_475
Gene_23,Gene_513
Gene_23,Gene_564
Gene_23,Gene_575
Gene_23,Gene_585
Gene_23,Gene_602
Gene_23,Gene_610
Gene_23,Gene_626
Gene_23,Gene_732
Gene_23,Gene_758
Gene_23,Gene_787
Gene_23,Gene_794
Gene_23,Gene_799
Gene_23,Gene_810
Gene_23,Gene_828
Gene_23,Gene_840
Gene_23,Gene_846
Gene_23,Gene_909
Gene_23,Gene_926
Gene_23,Gene_988
Gene_23,Gene_995
Gene_66,Gene_0
Gene_66,Gene_1
Gene_66,Gene_2
Gene_66,Gene_3
Gene_66,Gene_5
Gene_66,Gene_8
Gene_66,Gene_10
Gene_66,Gene_11
Gene_66,Gene_13
Gene_66,Gene_15
Gene_66,Gene_16
Gene_66,Gene_18
Gene_66,Gene_19
Gene_66,Gene_20
Gene_66,Gene_21
Gene_66,Gene_22
Gene_66,Gene_23
Gene_66,Gene_24
Gene_66,Gene_26
Gene_66,Gene_27
Gene_66,Gene_30
Gene_66,Gene_31
Gene_66,Gene_32
Gene_66,Gene_33
Gene_66,Gene_34
Gene_66,Gene_35
Gene_66,Gene_36
Gene_66,Gene_37
Gene_66,Gene_38
Gene_66,Gene_39
Gene_66,Gene_40
Gene_66,Gene_41
Gene_66,Gene_42
Gene_66,Gene_43
Gene_66,Gene_45
Gene_66,Gene_46
Gene_66,Gene_47
Gene_66,Gene_49
Gene_66,Gene_50
Gene_66,Gene_52
Gene_66,Gene_53
Gene_66,Gene_54
Gene_66,Gene_55
Gene_66,Gene_56
Gene_66,Gene_57
Gene_66,Gene_58
Gene_66,Gene_60
Gene_66,Gene_61
Gene_66,Gene_62
Gene_66,Gene_63
Gene_66,Gene_64
Gene_66,Gene_65
Gene_66,Gene_66
Gene_66,Gene_67
Gene_66,Gene_70
Gene_66,Gene_71
Gene_66,Gene_73
Gene_66,Gene_76
Gene_66,Gene_77
Gene_66,Gene_78
Gene_66,Gene_79
Gene_66,Gene_80
Gene_66,Gene_81
Gene_66,Gene_82
Gene_66,Gene_83
Gene_66,Gene_84
Gene_66,Gene_85
Gene_66,Gene_87
Gene_66,Gene_88
Gene_66,Gene_89
Gene_66,Gene_90
Gene_66,Gene_91
Gene_66,Gene_92
Gene_66,Gene_93
Gene_66,Gene_94
Gene_66,Gene_95
Gene_66,Gene_96
Gene_66,Gene_97
Gene_66,Gene_98
Gene_66,Gene_99
Gene_66,Gene_100
Gene_66,Gene_101
Gene_66,Gene_102
Gene_66,Gene_103
Gene_66,Gene_104
Gene_66,Gene_106
Gene_66,Gene_107
Gene_66,Gene_108
Gene_66,Gene_109
Gene_66,Gene_110
Gene_66,Gene_111
Gene_66,Gene_112
Gene_66,Gene_113
Gene_66,Gene_116
Gene_66,Gene_118
Gene_66,Gene_119
Gene_66,Gene_120
Gene_66,Gene_121
Gene_66,Gene_124
Gene_66,Gene_125
Gene_66,Gene_126
Gene_66,Gene_127
Gene_66,Gene_130
Gene_66,Gene_133
Gene_66,Gene_134
Gene_66,Gene_135
Gene_66,Gene_138
Gene_66,Gene_139
Gene_66,Gene_140
Gene_66,Gene_141
Gene_66,Gene_142
Gene_66,Gene_144
Gene_66,Gene_145
Gene_66,Gene_146
Gene_66,Gene_147
Gene_66,Gene_148
Gene_66,Gene_149
Gene_66,Gene_150
Gene_66,Gene_153
Gene_66,Gene_154
Gene_66,Gene_155
Gene_66,Gene_156
Gene_66,Gene_157
Gene_66,Gene_158
Gene_66,Gene_159
Gene_66,Gene_160
Gene_66,Gene_161
Gene_66,Gene_162
Gene_66,Gene_163
Gene_66,Gene_164
Gene_66,Gene_167
Gene_66,Gene_168
Gene_66,Gene_169
Gene_66,Gene_173
Gene_66,Gene_174
Gene_66,Gene_175
Gene_66,Gene_177
Gene_66,Gene_178
Gene_66,Gene_179
Gene_66,Gene_180
Gene_66,Gene_183
Gene_66,Gene_184
Gene_66,Gene_185
Gene_66,Gene_186
Gene_66,Gene_188
Gene_66,Gene_189
Gene_66,Gene_190
Gene_66,Gene_191
Gene_66,Gene_192
Gene_66,Gene_194
Gene_66,Gene_195
Gene_66,Gene_196
Gene_66,Gene_197
Gene_66,Gene_198
Gene_66,Gene_199
Gene_66,Gene_200
Gene_66,Gene_201
Gene_66,Gene_202
Gene_66,Gene_203
Gene_66,Gene_204
Gene_66,Gene_205
Gene_66,Gene_206
Gene_66,Gene_207
Gene_66,Gene_208
Gene_66,Gene_212
Gene_66,Gene_213
Gene_66,Gene_216
Gene_66,Gene_217
Gene_66,Gene_218
Gene_66,Gene_220
Gene_66,Gene_222
Gene_66,Gene_223
Gene_66,Gene_225
Gene_66,Gene_226
Gene_66,Gene_228
Gene_66,Gene_230
Gene_66,Gene_231
Gene_66,Gene_232
Gene_66,Gene_233
Gene_66,Gene_234
Gene_66,Gene_236
Gene_66,Gene_237
Gene_66,Gene_238
Gene_66,Gene_239
Gene_66,Gene_240
Gene_66,Gene_241
Gene_66,Gene_242
Gene_66,Gene_243
Gene_66,Gene_244
Gene_66,Gene_245
Gene_66,Gene_246
Gene_66,Gene_247
Gene_66,Gene_248
Gene_66,Gene_249
Gene_66,Gene_251
Gene_66,Gene_252
Gene_66,Gene_253
Gene_66,Gene_254
Gene_66,Gene_256
Gene_66,Gene_258
Gene_66,Gene_259
Gene_66,Gene_260
Gene_66,Gene_262
Gene_66,Gene_263
Gene_66,Gene_264
Gene_66,Gene_266
Gene_66,Gene_267
Gene_66,Gene_269
Gene_66,Gene_270
Gene_66,Gene_271
Gene_66,Gene_272
Gene_66,Gene_273
Gene_66,Gene_274
Gene_66,Gene_275
Gene_66,Gene_276
Gene_66,Gene_277
Gene_66,Gene_278
Gene_66,Gene_279
Gene_66,Gene_280
Gene_66,Gene_282
Gene_66,Gene_283
Gene_66,Gene_284
Gene_66,Gene_286
Gene_66,Gene_287
Gene_66,Gene_289
Gene_66,Gene_291
Gene_66,Gene_293
Gene_66,Gene_296
Gene_66,Gene_297
Gene_66,Gene_298
Gene_66,Gene_300
Gene_66,Gene_301
Gene_66,Gene_302
Gene_66,Gene_303
Gene_66,Gene_304
Gene_66,Gene_305
Gene_66,Gene_306
Gene_66,Gene_308
Gene_66,Gene_309
Gene_66,Gene_310
Gene_66,Gene_311
Gene_66,Gene_312
Gene_66,Gene_313
Gene_66,Gene_314
Gene_66,Gene_315
Gene_66,Gene_316
Gene_66,Gene_317
Gene_66,Gene_318
Gene_66,Gene_319
Gene_66,Gene_320
Gene_66,Gene_321
Gene_66,Gene_322
Gene_66,Gene_324
Gene_66,Gene_325
Gene_66,Gene_326
